game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-03-27,778552,26,6,2,47,10,99,AZ,0.23076923076923078,0.07692307692307693,0.2127659574468085
2025-03-28,778543,12,4,0,18,6,30,AZ,0.3333333333333333,0.0,0.3333333333333333
2025-03-29,778532,12,4,0,21,5,34,AZ,0.3333333333333333,0.0,0.23809523809523808
2025-03-30,778515,18,5,1,40,13,75,AZ,0.2777777777777778,0.05555555555555555,0.325
2025-04-01,778492,15,6,0,30,11,59,AZ,0.4,0.0,0.36666666666666664
2025-04-02,778484,10,3,0,22,7,36,AZ,0.3,0.0,0.3181818181818182
2025-04-03,778466,18,5,1,42,13,84,AZ,0.2777777777777778,0.05555555555555555,0.30952380952380953
2025-04-04,778457,11,2,0,25,7,48,AZ,0.18181818181818182,0.0,0.28
2025-04-05,778452,11,4,1,23,7,43,AZ,0.36363636363636365,0.09090909090909091,0.30434782608695654
2025-04-06,778429,12,4,1,26,7,48,AZ,0.3333333333333333,0.08333333333333333,0.2692307692307692
2025-04-07,778413,14,4,1,26,4,53,AZ,0.2857142857142857,0.07142857142857142,0.15384615384615385
2025-04-08,778396,10,2,0,14,3,34,AZ,0.2,0.0,0.21428571428571427
2025-04-09,778380,9,0,0,19,5,35,AZ,0.0,0.0,0.2631578947368421
2025-04-11,778364,14,1,1,25,4,52,AZ,0.07142857142857142,0.07142857142857142,0.16
2025-04-12,778350,11,3,0,16,3,36,AZ,0.2727272727272727,0.0,0.1875
2025-04-13,778332,12,6,1,25,7,59,AZ,0.5,0.08333333333333333,0.28
2025-04-15,778318,16,2,1,26,5,57,AZ,0.125,0.0625,0.19230769230769232
2025-04-16,778303,13,4,1,18,4,43,AZ,0.3076923076923077,0.07692307692307693,0.2222222222222222
2025-04-17,778291,18,7,4,44,15,85,AZ,0.3888888888888889,0.2222222222222222,0.3409090909090909
2025-04-18,778268,21,5,2,33,8,78,AZ,0.23809523809523808,0.09523809523809523,0.24242424242424243
2025-04-19,778257,8,3,1,25,5,43,AZ,0.375,0.125,0.2
2025-04-20,778236,18,5,1,45,8,91,AZ,0.2777777777777778,0.05555555555555555,0.17777777777777778
2025-04-22,778212,11,1,2,13,3,39,AZ,0.09090909090909091,0.18181818181818182,0.23076923076923078
2025-04-23,778199,21,5,2,37,9,81,AZ,0.23809523809523808,0.09523809523809523,0.24324324324324326
2025-04-24,778188,22,8,0,49,13,97,AZ,0.36363636363636365,0.0,0.2653061224489796
2025-04-25,778177,22,2,3,36,3,82,AZ,0.09090909090909091,0.13636363636363635,0.08333333333333333
2025-04-26,778162,21,1,5,32,8,71,AZ,0.047619047619047616,0.23809523809523808,0.25
2025-04-27,778147,14,3,3,25,6,57,AZ,0.21428571428571427,0.21428571428571427,0.24
2025-04-29,778130,13,3,2,33,6,68,AZ,0.23076923076923078,0.15384615384615385,0.18181818181818182
2025-04-30,778117,17,3,3,28,10,77,AZ,0.17647058823529413,0.17647058823529413,0.35714285714285715
2025-05-01,778103,13,5,1,21,5,55,AZ,0.38461538461538464,0.07692307692307693,0.23809523809523808
2025-05-02,778086,12,2,1,23,9,45,AZ,0.16666666666666666,0.08333333333333333,0.391304347826087
2025-05-03,778078,13,0,1,23,1,53,AZ,0.0,0.07692307692307693,0.043478260869565216
2025-05-04,778059,23,4,1,45,8,82,AZ,0.17391304347826086,0.043478260869565216,0.17777777777777778
2025-05-05,778039,19,2,1,38,8,87,AZ,0.10526315789473684,0.05263157894736842,0.21052631578947367
2025-05-06,778032,8,2,1,13,3,39,AZ,0.25,0.125,0.23076923076923078
2025-05-07,778014,13,2,3,24,5,61,AZ,0.15384615384615385,0.23076923076923078,0.20833333333333334
2025-05-08,777999,12,3,0,23,6,54,AZ,0.25,0.0,0.2608695652173913
2025-05-09,777988,27,8,1,51,10,107,AZ,0.2962962962962963,0.037037037037037035,0.19607843137254902
2025-05-10,777975,6,1,0,6,1,17,AZ,0.16666666666666666,0.0,0.16666666666666666
2025-05-11,777954,17,2,0,28,4,47,AZ,0.11764705882352941,0.0,0.14285714285714285
2025-05-12,777939,7,2,1,16,3,32,AZ,0.2857142857142857,0.14285714285714285,0.1875
2025-05-13,777930,23,3,2,35,8,83,AZ,0.13043478260869565,0.08695652173913043,0.22857142857142856
2025-05-14,777916,25,8,4,49,15,109,AZ,0.32,0.16,0.30612244897959184
2025-05-16,777897,10,4,1,20,8,41,AZ,0.4,0.1,0.4
2025-05-17,777887,24,2,3,38,10,76,AZ,0.08333333333333333,0.125,0.2631578947368421
2025-05-18,777870,9,3,0,16,9,32,AZ,0.3333333333333333,0.0,0.5625
2025-05-19,777854,14,2,1,25,5,56,AZ,0.14285714285714285,0.07142857142857142,0.2
2025-05-20,777838,23,5,2,48,13,96,AZ,0.21739130434782608,0.08695652173913043,0.2708333333333333
2025-05-21,777824,4,1,0,5,1,13,AZ,0.25,0.0,0.2
2025-05-23,777797,7,1,0,10,1,15,AZ,0.14285714285714285,0.0,0.1
2025-05-24,777786,10,2,1,12,3,33,AZ,0.2,0.1,0.25
2025-05-25,777766,10,2,0,20,4,44,AZ,0.2,0.0,0.2
2025-05-26,777761,11,1,2,17,5,50,AZ,0.09090909090909091,0.18181818181818182,0.29411764705882354
2025-05-27,777744,15,2,3,25,8,62,AZ,0.13333333333333333,0.2,0.32
2025-05-28,777729,17,6,0,30,9,62,AZ,0.35294117647058826,0.0,0.3
2025-05-30,777710,19,2,4,32,6,70,AZ,0.10526315789473684,0.21052631578947367,0.1875
2025-05-31,777696,39,5,3,70,11,141,AZ,0.1282051282051282,0.07692307692307693,0.15714285714285714
2025-06-01,777679,17,7,2,31,10,69,AZ,0.4117647058823529,0.11764705882352941,0.3225806451612903
2025-06-03,777672,8,1,0,17,2,28,AZ,0.125,0.0,0.11764705882352941
2025-06-04,777654,13,5,3,15,5,51,AZ,0.38461538461538464,0.23076923076923078,0.3333333333333333
2025-06-05,777640,24,7,2,51,10,101,AZ,0.2916666666666667,0.08333333333333333,0.19607843137254902
2025-06-06,777623,20,7,4,31,12,82,AZ,0.35,0.2,0.3870967741935484
2025-06-07,777612,26,3,3,40,6,96,AZ,0.11538461538461539,0.11538461538461539,0.15
2025-06-08,777602,4,1,0,8,0,17,AZ,0.25,0.0,0.0
2025-06-09,777577,23,5,1,51,16,94,AZ,0.21739130434782608,0.043478260869565216,0.3137254901960784
2025-06-10,777559,18,3,4,35,7,89,AZ,0.16666666666666666,0.2222222222222222,0.2
2025-06-11,777548,10,2,1,15,6,33,AZ,0.2,0.1,0.4
2025-06-13,777521,12,2,1,21,1,50,AZ,0.16666666666666666,0.08333333333333333,0.047619047619047616
2025-06-14,777515,16,2,1,31,8,52,AZ,0.125,0.0625,0.25806451612903225
2025-06-15,777491,18,2,0,31,1,69,AZ,0.1111111111111111,0.0,0.03225806451612903
2025-06-17,777479,15,5,0,29,7,56,AZ,0.3333333333333333,0.0,0.2413793103448276
2025-06-18,777462,20,1,3,25,5,64,AZ,0.05,0.15,0.2
2025-06-19,777448,15,3,0,33,9,63,AZ,0.2,0.0,0.2727272727272727
2025-06-20,777430,14,7,0,29,11,55,AZ,0.5,0.0,0.3793103448275862
