snapshot_ts,event_id,commence_time,home_team,away_team,bookmaker,line_last_update,total_line,over_price,under_price
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,draftkings,2025-03-27T15:54:53Z,8.0,-105,-115
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betmgm,2025-03-27T15:52:55Z,8.0,100,-120
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,bovada,2025-03-27T15:54:53Z,8.0,100,-120
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,fanduel,2025-03-27T15:50:57Z,7.5,-124,102
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betonlineag,2025-03-27T15:54:53Z,7.5,-123,103
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,lowvig,2025-03-27T15:54:53Z,7.5,-121,106
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betrivers,2025-03-27T15:54:54Z,8.0,-109,-110
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,williamhill_us,2025-03-27T15:54:53Z,8.0,-105,-115
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,betus,2025-03-27T15:54:54Z,7.5,-125,105
2025-03-27T15:55:39Z,91b0003e1f948b2e8dd065b2edb48457,2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,mybookieag,2025-03-27T15:52:55Z,8.0,-101,-114
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,draftkings,2025-03-27T15:54:53Z,8.5,-102,-118
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,betmgm,2025-03-27T15:52:55Z,8.5,-105,-115
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,bovada,2025-03-27T15:54:53Z,8.5,-105,-115
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,fanduel,2025-03-27T15:50:57Z,8.5,-105,-115
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,betonlineag,2025-03-27T15:54:53Z,8.5,100,-120
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,lowvig,2025-03-27T15:54:53Z,8.5,103,-118
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,betrivers,2025-03-27T15:54:54Z,8.0,-118,-104
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,williamhill_us,2025-03-27T15:54:53Z,8.5,100,-120
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,betus,2025-03-27T15:54:54Z,8.5,100,-120
2025-03-27T15:55:39Z,65211308f0f91aaf4fa7d7a7d6b0b1f1,2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,mybookieag,2025-03-27T15:52:55Z,8.5,-103,-114
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,draftkings,2025-03-27T15:54:53Z,7.5,-112,-108
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,betmgm,2025-03-27T15:52:55Z,7.5,-115,-105
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,bovada,2025-03-27T15:54:53Z,7.5,-110,-110
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,fanduel,2025-03-27T15:50:57Z,7.5,-115,-105
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,betonlineag,2025-03-27T15:54:53Z,7.5,-113,-107
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,lowvig,2025-03-27T15:54:53Z,7.5,-110,-104
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,betrivers,2025-03-27T15:54:54Z,7.5,-110,-109
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,williamhill_us,2025-03-27T15:54:53Z,7.5,-115,-105
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,betus,2025-03-27T15:54:54Z,7.5,-115,-105
2025-03-27T15:55:39Z,708aca021091b589a655c8d020ca0a41,2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,mybookieag,2025-03-27T15:52:55Z,7.5,-115,-102
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,draftkings,2025-03-27T15:54:53Z,7.0,-125,105
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,betmgm,2025-03-27T15:52:55Z,7.0,-120,100
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,bovada,2025-03-27T15:54:53Z,7.5,100,-120
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,fanduel,2025-03-27T15:50:57Z,7.5,-102,-120
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,betonlineag,2025-03-27T15:54:53Z,7.0,-125,105
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,lowvig,2025-03-27T15:54:53Z,7.0,-123,107
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,betrivers,2025-03-27T15:54:54Z,7.0,-125,102
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,williamhill_us,2025-03-27T15:54:53Z,7.0,-125,105
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,betus,2025-03-27T15:54:54Z,7.0,-125,105
2025-03-27T15:55:39Z,f94eecb922d6a386480695645c795a6c,2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,mybookieag,2025-03-27T15:52:55Z,7.0,-120,103
2025-03-27T15:55:39Z,d8f58d7be766e68de54c5a8026f11ee3,2025-03-27T20:10:00Z,San Diego Padres,Atlanta Braves,draftkings,2025-03-27T15:54:53Z,6.5,-125,105
2025-03-27T15:55:39Z,d8f58d7be766e68de54c5a8026f11ee3,2025-03-27T20:10:00Z,San Diego Padres,Atlanta Braves,betmgm,2025-03-27T15:52:55Z,7.0,100,-120
