Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,pred_home_runs,lambda_home,lambda_away,p_over_poisson,actual_total,actual_over,prob_bucket,p_over_negbin,prob_bucket_nb,lambda_home_cal,lambda_away_cal,p_over_cal
2025-08-12,NYM,ATL,18.0,13.0,5.0,3.0,4.8,3.8,6.1,4.0,4.7,6.2,3.8,4.4,3.9,4.7,5.65,4.255438154054173,4.255438154054173,5.202350548066948,0.6051,18.0,1,"(0.6, 0.65]",0.5543,"(0.55, 0.6]",4.255438154054167,5.20235054806694,0.552
2025-08-12,TOR,CHC,6.0,5.0,1.0,7.4,4.6,7.0,4.6,6.45,5.3,3.6,3.0,3.9,2.8,4.15,4.4,4.291314639023682,4.291314639023682,4.446278449756296,0.5062,6.0,0,"(0.5, 0.55]",0.4873,"(0.45, 0.5]",4.291314639023675,4.446278449756289,0.4762
2025-08-12,STL,COL,3.0,0.0,3.0,3.4,3.2,3.8,4.6,3.5,4.45,3.0,9.6,5.0,10.3,4.3,8.45,5.9482005783969125,5.9482005783969125,4.460932438252056,0.7148,3.0,0,"(0.65, 1.0]",0.6434,"(0.6, 0.65]",5.948200578396904,4.4609324382520485,0.6391
2025-08-12,SFG,SDP,6.0,1.0,5.0,2.4,3.6,4.3,4.3,4.25,4.7,3.4,4.2,4.5,3.4,4.4,3.4,4.170013604702166,4.170013604702166,4.3429580953008875,0.4688,6.0,0,"(0.45, 0.5]",0.4584,"(0.45, 0.5]",4.170013604702159,4.34295809530088,0.4696
2025-08-12,BAL,SEA,1.0,0.0,1.0,2.6,4.4,3.1,5.3,5.15,4.6,6.4,3.6,5.2,3.6,4.35,3.85,4.322913481040923,4.322913481040923,4.778425978643583,0.5501,1.0,0,"(0.55, 0.6]",0.5166,"(0.5, 0.55]",4.322913481040916,4.778425978643576,0.5225
2025-08-12,KCR,WSN,13.0,8.0,5.0,4.4,4.4,5.4,5.3,4.85,4.7,3.2,4.0,3.9,7.5,3.95,6.0,5.302267625727121,5.302267625727121,4.736681968349477,0.6809,13.0,1,"(0.65, 1.0]",0.6067,"(0.6, 0.65]",5.302267625727113,4.73668196834947,0.5976
2025-08-12,ATH,TBR,6.0,6.0,0.0,5.2,3.0,5.4,3.8,5.15,3.4,4.2,4.8,3.3,4.0,3.5,4.9,4.41819888882255,4.41819888882255,4.057176764957827,0.4644,6.0,0,"(0.45, 0.5]",0.4603,"(0.45, 0.5]",4.418198888822543,4.057176764957821,0.4538
2025-08-12,MIL,PIT,14.0,14.0,0.0,5.8,3.4,7.7,3.4,6.35,3.65,4.0,5.0,4.2,5.4,4.9,5.0,4.930890898995169,4.930890898995169,4.025046820791572,0.5403,14.0,1,"(0.5, 0.55]",0.5032,"(0.5, 0.55]",4.930890898995161,4.025046820791566,0.504
2025-08-12,CHW,DET,15.0,9.0,6.0,3.8,5.2,4.3,4.8,5.4,4.7,5.0,5.4,4.5,4.8,4.6,4.85,4.647418536168153,4.647418536168153,4.578031051192158,0.5711,15.0,1,"(0.55, 0.6]",0.5348,"(0.5, 0.55]",4.6474185361681455,4.578031051192151,0.529
2025-08-12,HOU,BOS,15.0,1.0,14.0,5.8,4.2,5.7,4.1,4.5,4.55,5.4,4.8,6.9,3.9,4.8,3.5,4.315215178926572,4.315215178926572,4.297354338172663,0.5008,15.0,1,"(0.5, 0.55]",0.4763,"(0.45, 0.5]",4.3152151789265645,4.2973543381726556,0.4754
2025-08-12,CIN,PHI,7.0,6.0,1.0,3.8,4.6,3.3,3.8,3.75,3.7,4.2,2.2,5.1,2.5,5.3,3.8,3.9153868842709465,3.9153868842709465,4.220576676901034,0.4303,7.0,0,"(0.0, 0.45]",0.4205,"(0.0, 0.45]",3.9153868842709403,4.220576676901028,0.4166
2025-08-12,CLE,MIA,7.0,4.0,3.0,4.6,3.0,5.3,3.6,5.3,3.8,3.8,6.2,3.9,5.3,4.1,4.35,4.7625116295348775,4.7625116295348775,4.032225148730665,0.5158,7.0,0,"(0.5, 0.55]",0.4903,"(0.45, 0.5]",4.76251162953487,4.032225148730658,0.4805
