game_date,game_pk,batters_faced,strikeouts,walks,swings,whiffs,pitches,pitcher_team,home_team,away_team,pitcher_name,mlbam_id,K_pct,BB_pct,whiff_pct
2026-03-26,824541,24,4,1,42,7,83,CIN,CIN,BOS,Andrew Abbott,671096,0.16666666666666666,0.041666666666666664,0.16666666666666666
2026-04-01,824536,24,5,3,41,9,88,CIN,CIN,PIT,Andrew Abbott,671096,0.20833333333333334,0.125,0.21951219512195122
2026-04-07,823887,24,2,2,37,6,91,CIN,MIA,CIN,Andrew Abbott,671096,0.08333333333333333,0.08333333333333333,0.16216216216216217
2026-04-12,824533,18,1,2,35,8,71,CIN,CIN,LAA,Andrew Abbott,671096,0.05555555555555555,0.1111111111111111,0.22857142857142856
2026-04-18,823721,24,3,3,35,7,97,CIN,MIN,CIN,Andrew Abbott,671096,0.125,0.125,0.2
2026-04-24,824529,19,4,2,42,9,89,CIN,CIN,DET,Andrew Abbott,671096,0.21052631578947367,0.10526315789473684,0.21428571428571427
2026-04-30,824524,25,5,2,45,5,86,CIN,CIN,COL,Andrew Abbott,671096,0.2,0.08,0.1111111111111111
2026-05-05,824682,24,4,4,38,7,98,CIN,CHC,CIN,Andrew Abbott,671096,0.16666666666666666,0.16666666666666666,0.18421052631578946
2026-05-10,824520,21,5,1,41,10,85,CIN,CIN,HOU,Andrew Abbott,671096,0.23809523809523808,0.047619047619047616,0.24390243902439024
2026-05-15,824439,22,2,3,35,3,90,CIN,CLE,CIN,Andrew Abbott,671096,0.09090909090909091,0.13636363636363635,0.08571428571428572
2026-05-20,823462,22,3,3,49,13,96,CIN,PHI,CIN,Andrew Abbott,671096,0.13636363636363635,0.13636363636363635,0.2653061224489796
2026-05-27,823626,24,4,1,54,10,101,CIN,NYM,CIN,Andrew Abbott,671096,0.16666666666666666,0.041666666666666664,0.18518518518518517
2026-06-02,824511,27,5,4,52,11,105,CIN,CIN,KC,Andrew Abbott,671096,0.18518518518518517,0.14814814814814814,0.21153846153846154
2026-06-08,823289,24,6,2,48,12,101,CIN,SD,CIN,Andrew Abbott,671096,0.25,0.08333333333333333,0.25
2026-06-14,824506,21,5,3,39,11,95,CIN,CIN,AZ,Andrew Abbott,671096,0.23809523809523808,0.14285714285714285,0.28205128205128205
2026-06-20,823532,23,6,3,42,11,97,CIN,NYY,CIN,Andrew Abbott,671096,0.2608695652173913,0.13043478260869565,0.2619047619047619
2026-06-26,823363,24,6,1,49,15,94,CIN,PIT,CIN,Andrew Abbott,671096,0.25,0.041666666666666664,0.30612244897959184
2026-07-01,823767,25,3,5,38,7,96,CIN,MIL,CIN,Andrew Abbott,671096,0.12,0.2,0.18421052631578946
2026-03-27,823893,25,5,2,38,11,73,MIA,MIA,COL,Sandy Alcantara,645261,0.2,0.08,0.2894736842105263
2026-04-01,823889,31,7,0,53,14,93,MIA,MIA,CWS,Sandy Alcantara,645261,0.22580645161290322,0.0,0.2641509433962264
2026-04-07,823887,30,6,2,44,11,95,MIA,MIA,CIN,Sandy Alcantara,645261,0.2,0.06666666666666667,0.25
2026-04-12,824293,30,4,2,46,10,100,MIA,DET,MIA,Sandy Alcantara,645261,0.13333333333333333,0.06666666666666667,0.21739130434782608
2026-04-18,823882,24,1,6,36,8,97,MIA,MIA,MIL,Sandy Alcantara,645261,0.041666666666666664,0.25,0.2222222222222222
2026-04-24,823232,26,4,1,58,12,108,MIA,SF,MIA,Sandy Alcantara,645261,0.15384615384615385,0.038461538461538464,0.20689655172413793
2026-04-29,823958,27,4,2,53,9,104,MIA,LAD,MIA,Sandy Alcantara,645261,0.14814814814814814,0.07407407407407407,0.16981132075471697
